nom;type;ville;etat;latitude;longitude
Point de vente Niamey 1;point de vente;Niamey;fonctionnel;13.512;2.1302
Point de vente Niamey 2;point de vente;Niamey;fonctionnel;13.4717;2.098
Point de vente Maradi 1;point de vente;Maradi;fonctionnel;13.4529;7.0617
Point de vente Maradi 2;point de vente;Maradi;fonctionnel;13.4509;7.0657
Point de vente Zinder 1;point de vente;Zinder;fonctionnel;13.8189;8.9703
Point de vente Zinder 2;point de vente;Zinder;fonctionnel;13.8134;8.9991
Point de vente Zinder 3;point de vente;Zinder;fonctionnel;13.8266;9.007
Point de vente Tahoua 1;point de vente;Tahoua;fonctionnel;14.8474;5.2942
Point de vente Tahoua 2;point de vente;Tahoua;fonctionnel;14.9017;5.2212
Point de vente Agadez 1;point de vente;Agadez;fonctionnel;16.9789;7.967
Point de vente Dosso 1;point de vente;Dosso;fonctionnel;13.0108;3.2025
Point de vente Dosso 2;point de vente;Dosso;fonctionnel;13.097;3.1435
Point de vente Diffa 1;point de vente;Diffa;fonctionnel;13.2796;12.6076
Point de vente Diffa 2;point de vente;Diffa;fonctionnel;13.2891;12.573
Point de vente Tillabéri 1;point de vente;Tillabéri;fonctionnel;14.1848;1.4049
Point de vente Tillabéri 2;point de vente;Tillabéri;fonctionnel;14.2274;1.4817
Point de vente Tillabéri 3;point de vente;Tillabéri;fonctionnel;14.2036;1.4038
Point de vente Birni N'Konni 1;point de vente;Birni N'Konni;fonctionnel;13.8195;5.2844
Point de vente Birni N'Konni 2;point de vente;Birni N'Konni;fonctionnel;13.8311;5.237
Point de vente Birni N'Konni 3;point de vente;Birni N'Konni;fonctionnel;13.7971;5.2454
Point de vente Arlit 1;point de vente;Arlit;fonctionnel;18.7051;7.3883
Point de vente Arlit 2;point de vente;Arlit;fonctionnel;18.7894;7.4137
Point de vente Arlit 3;point de vente;Arlit;fonctionnel;18.7895;7.4016
Point de vente Gaya 1;point de vente;Gaya;fonctionnel;11.8444;3.4157
Point de vente Gaya 2;point de vente;Gaya;fonctionnel;11.8623;3.4015
Point de vente Gaya 3;point de vente;Gaya;fonctionnel;11.9153;3.4647
Point de vente Tessaoua 1;point de vente;Tessaoua;fonctionnel;13.7282;8.0344
Point de vente Tessaoua 2;point de vente;Tessaoua;fonctionnel;13.7563;7.9805
Point de vente Tessaoua 3;point de vente;Tessaoua;fonctionnel;13.7361;7.9512
