indicateur;valeur;unite;ville;mois
taux_rupture;2.9;%;Niamey;01/01/2025
taux_rupture;2.8;%;Niamey;01/02/2025
taux_rupture;4.0;%;Niamey;01/03/2025
taux_rupture;12.3;%;Niamey;01/04/2025
taux_rupture;11.9;%;Niamey;01/05/2025
taux_rupture;12.3;%;Niamey;01/06/2025
taux_rupture;9.0;%;Maradi;01/01/2025
taux_rupture;10.4;%;Maradi;01/02/2025
taux_rupture;15.7;%;Maradi;01/03/2025
taux_rupture;3.0;%;Maradi;01/04/2025
taux_rupture;17.6;%;Maradi;01/05/2025
taux_rupture;17.9;%;Maradi;01/06/2025
taux_rupture;11.6;%;Zinder;01/01/2025
taux_rupture;9.8;%;Zinder;01/02/2025
taux_rupture;6.8;%;Zinder;01/03/2025
taux_rupture;10.8;%;Zinder;01/04/2025
taux_rupture;3.2;%;Zinder;01/05/2025
taux_rupture;17.1;%;Zinder;01/06/2025
taux_rupture;16.8;%;Tahoua;01/01/2025
taux_rupture;7.5;%;Tahoua;01/02/2025
taux_rupture;6.4;%;Tahoua;01/03/2025
taux_rupture;4.1;%;Tahoua;01/04/2025
taux_rupture;10.1;%;Tahoua;01/05/2025
taux_rupture;2.6;%;Tahoua;01/06/2025
taux_rupture;3.2;%;Agadez;01/01/2025
taux_rupture;8.6;%;Agadez;01/02/2025
taux_rupture;17.1;%;Agadez;01/03/2025
taux_rupture;5.7;%;Agadez;01/04/2025
taux_rupture;10.4;%;Agadez;01/05/2025
taux_rupture;7.2;%;Agadez;01/06/2025
taux_rupture;2.1;%;Dosso;01/01/2025
taux_rupture;8.5;%;Dosso;01/02/2025
taux_rupture;13.0;%;Dosso;01/03/2025
taux_rupture;11.2;%;Dosso;01/04/2025
taux_rupture;17.2;%;Dosso;01/05/2025
taux_rupture;5.5;%;Dosso;01/06/2025
taux_rupture;13.8;%;Diffa;01/01/2025
taux_rupture;7.0;%;Diffa;01/02/2025
taux_rupture;5.4;%;Diffa;01/03/2025
taux_rupture;5.0;%;Diffa;01/04/2025
taux_rupture;3.9;%;Diffa;01/05/2025
taux_rupture;10.0;%;Diffa;01/06/2025
taux_rupture;8.4;%;Tillabéri;01/01/2025
taux_rupture;15.0;%;Tillabéri;01/02/2025
taux_rupture;11.9;%;Tillabéri;01/03/2025
taux_rupture;10.7;%;Tillabéri;01/04/2025
taux_rupture;17.6;%;Tillabéri;01/05/2025
taux_rupture;6.6;%;Tillabéri;01/06/2025
taux_rupture;3.9;%;Birni N'Konni;01/01/2025
taux_rupture;3.2;%;Birni N'Konni;01/02/2025
taux_rupture;15.7;%;Birni N'Konni;01/03/2025
taux_rupture;4.5;%;Birni N'Konni;01/04/2025
taux_rupture;17.1;%;Birni N'Konni;01/05/2025
taux_rupture;15.2;%;Birni N'Konni;01/06/2025
taux_rupture;17.4;%;Arlit;01/01/2025
taux_rupture;14.4;%;Arlit;01/02/2025
taux_rupture;4.6;%;Arlit;01/03/2025
taux_rupture;9.7;%;Arlit;01/04/2025
taux_rupture;16.6;%;Arlit;01/05/2025
taux_rupture;6.5;%;Arlit;01/06/2025
taux_rupture;16.0;%;Gaya;01/01/2025
taux_rupture;8.0;%;Gaya;01/02/2025
taux_rupture;14.8;%;Gaya;01/03/2025
taux_rupture;5.1;%;Gaya;01/04/2025
taux_rupture;9.7;%;Gaya;01/05/2025
taux_rupture;4.8;%;Gaya;01/06/2025
taux_rupture;8.8;%;Tessaoua;01/01/2025
taux_rupture;18.0;%;Tessaoua;01/02/2025
taux_rupture;13.2;%;Tessaoua;01/03/2025
taux_rupture;5.7;%;Tessaoua;01/04/2025
taux_rupture;2.3;%;Tessaoua;01/05/2025
taux_rupture;5.4;%;Tessaoua;01/06/2025
