produit;categorie;quantite;unite;magasin;ville;mois
farine;produits;797;unités;Point de vente Niamey 1;Niamey;01/01/2025
farine;produits;897;unités;Point de vente Niamey 1;Niamey;01/02/2025
farine;produits;1099;unités;Point de vente Niamey 1;Niamey;01/03/2025
farine;produits;993;unités;Point de vente Niamey 1;Niamey;01/04/2025
farine;produits;991;unités;Point de vente Niamey 1;Niamey;01/05/2025
farine;produits;696;unités;Point de vente Niamey 1;Niamey;01/06/2025
sucre;produits;586;unités;Point de vente Niamey 1;Niamey;01/01/2025
sucre;produits;469;unités;Point de vente Niamey 1;Niamey;01/02/2025
sucre;produits;390;unités;Point de vente Niamey 1;Niamey;01/03/2025
sucre;produits;405;unités;Point de vente Niamey 1;Niamey;01/04/2025
sucre;produits;486;unités;Point de vente Niamey 1;Niamey;01/05/2025
sucre;produits;342;unités;Point de vente Niamey 1;Niamey;01/06/2025
savon;produits;445;unités;Point de vente Niamey 1;Niamey;01/01/2025
savon;produits;524;unités;Point de vente Niamey 1;Niamey;01/02/2025
savon;produits;516;unités;Point de vente Niamey 1;Niamey;01/03/2025
savon;produits;653;unités;Point de vente Niamey 1;Niamey;01/04/2025
savon;produits;485;unités;Point de vente Niamey 1;Niamey;01/05/2025
savon;produits;450;unités;Point de vente Niamey 1;Niamey;01/06/2025
farine;produits;352;unités;Point de vente Maradi 1;Maradi;01/01/2025
farine;produits;259;unités;Point de vente Maradi 1;Maradi;01/02/2025
farine;produits;217;unités;Point de vente Maradi 1;Maradi;01/03/2025
farine;produits;155;unités;Point de vente Maradi 1;Maradi;01/04/2025
farine;produits;115;unités;Point de vente Maradi 1;Maradi;01/05/2025
farine;produits;135;unités;Point de vente Maradi 1;Maradi;01/06/2025
sucre;produits;181;unités;Point de vente Maradi 1;Maradi;01/01/2025
sucre;produits;210;unités;Point de vente Maradi 1;Maradi;01/02/2025
sucre;produits;217;unités;Point de vente Maradi 1;Maradi;01/03/2025
sucre;produits;260;unités;Point de vente Maradi 1;Maradi;01/04/2025
sucre;produits;259;unités;Point de vente Maradi 1;Maradi;01/05/2025
sucre;produits;327;unités;Point de vente Maradi 1;Maradi;01/06/2025
savon;produits;522;unités;Point de vente Maradi 1;Maradi;01/01/2025
savon;produits;636;unités;Point de vente Maradi 1;Maradi;01/02/2025
savon;produits;713;unités;Point de vente Maradi 1;Maradi;01/03/2025
savon;produits;707;unités;Point de vente Maradi 1;Maradi;01/04/2025
savon;produits;513;unités;Point de vente Maradi 1;Maradi;01/05/2025
savon;produits;479;unités;Point de vente Maradi 1;Maradi;01/06/2025
farine;produits;835;unités;Point de vente Zinder 1;Zinder;01/01/2025
farine;produits;641;unités;Point de vente Zinder 1;Zinder;01/02/2025
farine;produits;755;unités;Point de vente Zinder 1;Zinder;01/03/2025
farine;produits;880;unités;Point de vente Zinder 1;Zinder;01/04/2025
farine;produits;949;unités;Point de vente Zinder 1;Zinder;01/05/2025
farine;produits;993;unités;Point de vente Zinder 1;Zinder;01/06/2025
sucre;produits;666;unités;Point de vente Zinder 1;Zinder;01/01/2025
sucre;produits;487;unités;Point de vente Zinder 1;Zinder;01/02/2025
sucre;produits;482;unités;Point de vente Zinder 1;Zinder;01/03/2025
sucre;produits;576;unités;Point de vente Zinder 1;Zinder;01/04/2025
sucre;produits;583;unités;Point de vente Zinder 1;Zinder;01/05/2025
sucre;produits;755;unités;Point de vente Zinder 1;Zinder;01/06/2025
savon;produits;540;unités;Point de vente Zinder 1;Zinder;01/01/2025
savon;produits;550;unités;Point de vente Zinder 1;Zinder;01/02/2025
savon;produits;422;unités;Point de vente Zinder 1;Zinder;01/03/2025
savon;produits;428;unités;Point de vente Zinder 1;Zinder;01/04/2025
savon;produits;535;unités;Point de vente Zinder 1;Zinder;01/05/2025
savon;produits;441;unités;Point de vente Zinder 1;Zinder;01/06/2025
farine;produits;567;unités;Point de vente Tahoua 1;Tahoua;01/01/2025
farine;produits;491;unités;Point de vente Tahoua 1;Tahoua;01/02/2025
farine;produits;581;unités;Point de vente Tahoua 1;Tahoua;01/03/2025
