indicateur;valeur;unite;ville;mois
ventes_mensuelles;5463454;FCFA;Niamey;01/01/2025
ventes_mensuelles;5590718;FCFA;Niamey;01/02/2025
ventes_mensuelles;6145513;FCFA;Niamey;01/03/2025
ventes_mensuelles;5664786;FCFA;Niamey;01/04/2025
ventes_mensuelles;6708363;FCFA;Niamey;01/05/2025
ventes_mensuelles;6490203;FCFA;Niamey;01/06/2025
ventes_mensuelles;5278640;FCFA;Maradi;01/01/2025
ventes_mensuelles;4863519;FCFA;Maradi;01/02/2025
ventes_mensuelles;5453428;FCFA;Maradi;01/03/2025
ventes_mensuelles;6771073;FCFA;Maradi;01/04/2025
ventes_mensuelles;7063976;FCFA;Maradi;01/05/2025
ventes_mensuelles;8755321;FCFA;Maradi;01/06/2025
ventes_mensuelles;16743666;FCFA;Zinder;01/01/2025
ventes_mensuelles;17891228;FCFA;Zinder;01/02/2025
ventes_mensuelles;17240979;FCFA;Zinder;01/03/2025
ventes_mensuelles;17434673;FCFA;Zinder;01/04/2025
ventes_mensuelles;21394822;FCFA;Zinder;01/05/2025
ventes_mensuelles;20343459;FCFA;Zinder;01/06/2025
ventes_mensuelles;10835575;FCFA;Tahoua;01/01/2025
ventes_mensuelles;10926368;FCFA;Tahoua;01/02/2025
ventes_mensuelles;11225619;FCFA;Tahoua;01/03/2025
ventes_mensuelles;12128840;FCFA;Tahoua;01/04/2025
ventes_mensuelles;13927396;FCFA;Tahoua;01/05/2025
ventes_mensuelles;13854981;FCFA;Tahoua;01/06/2025
ventes_mensuelles;5370112;FCFA;Agadez;01/01/2025
ventes_mensuelles;5148266;FCFA;Agadez;01/02/2025
ventes_mensuelles;4663424;FCFA;Agadez;01/03/2025
ventes_mensuelles;4430405;FCFA;Agadez;01/04/2025
ventes_mensuelles;4824138;FCFA;Agadez;01/05/2025
ventes_mensuelles;4716280;FCFA;Agadez;01/06/2025
ventes_mensuelles;8173713;FCFA;Dosso;01/01/2025
ventes_mensuelles;9938686;FCFA;Dosso;01/02/2025
ventes_mensuelles;10972033;FCFA;Dosso;01/03/2025
ventes_mensuelles;11092680;FCFA;Dosso;01/04/2025
ventes_mensuelles;12234601;FCFA;Dosso;01/05/2025
ventes_mensuelles;12883614;FCFA;Dosso;01/06/2025
ventes_mensuelles;4506399;FCFA;Diffa;01/01/2025
ventes_mensuelles;3839634;FCFA;Diffa;01/02/2025
ventes_mensuelles;4086431;FCFA;Diffa;01/03/2025
ventes_mensuelles;3684910;FCFA;Diffa;01/04/2025
ventes_mensuelles;3155236;FCFA;Diffa;01/05/2025
ventes_mensuelles;3175904;FCFA;Diffa;01/06/2025
ventes_mensuelles;14428740;FCFA;Tillabéri;01/01/2025
ventes_mensuelles;13885771;FCFA;Tillabéri;01/02/2025
ventes_mensuelles;12700964;FCFA;Tillabéri;01/03/2025
ventes_mensuelles;11134049;FCFA;Tillabéri;01/04/2025
ventes_mensuelles;13637376;FCFA;Tillabéri;01/05/2025
ventes_mensuelles;14981368;FCFA;Tillabéri;01/06/2025
ventes_mensuelles;2336544;FCFA;Birni N'Konni;01/01/2025
ventes_mensuelles;2001110;FCFA;Birni N'Konni;01/02/2025
ventes_mensuelles;2151106;FCFA;Birni N'Konni;01/03/2025
ventes_mensuelles;2624669;FCFA;Birni N'Konni;01/04/2025
ventes_mensuelles;2681354;FCFA;Birni N'Konni;01/05/2025
ventes_mensuelles;3231042;FCFA;Birni N'Konni;01/06/2025
ventes_mensuelles;5420641;FCFA;Arlit;01/01/2025
ventes_mensuelles;5257086;FCFA;Arlit;01/02/2025
ventes_mensuelles;6084158;FCFA;Arlit;01/03/2025
ventes_mensuelles;7478247;FCFA;Arlit;01/04/2025
ventes_mensuelles;7207173;FCFA;Arlit;01/05/2025
ventes_mensuelles;7531658;FCFA;Arlit;01/06/2025
ventes_mensuelles;6752976;FCFA;Gaya;01/01/2025
ventes_mensuelles;7080704;FCFA;Gaya;01/02/2025
ventes_mensuelles;7314676;FCFA;Gaya;01/03/2025
ventes_mensuelles;7032657;FCFA;Gaya;01/04/2025
ventes_mensuelles;8331810;FCFA;Gaya;01/05/2025
ventes_mensuelles;9219880;FCFA;Gaya;01/06/2025
ventes_mensuelles;1990934;FCFA;Tessaoua;01/01/2025
ventes_mensuelles;1936102;FCFA;Tessaoua;01/02/2025
ventes_mensuelles;2063048;FCFA;Tessaoua;01/03/2025
ventes_mensuelles;1833914;FCFA;Tessaoua;01/04/2025
ventes_mensuelles;1952848;FCFA;Tessaoua;01/05/2025
ventes_mensuelles;2264095;FCFA;Tessaoua;01/06/2025
