nom;type;commune;etat_fonctionnel;capacite;unite_capacite;latitude;longitude
École primaire Diffa 1;école primaire;Diffa;partiel;289;élèves;13.2986;12.6363
Centre de santé Diffa 1;centre de santé;Diffa;partiel;1447;consultations/mois;13.3398;12.5696
Centre de santé Diffa 2;centre de santé;Diffa;fonctionnel;1478;consultations/mois;13.2719;12.6032
Centre de santé Diffa 3;centre de santé;Diffa;partiel;1006;consultations/mois;13.3552;12.6147
Point d'eau Diffa 1;point d'eau;Diffa;fonctionnel;1839;personnes desservies;13.2758;12.5707
École primaire N'Guigmi 1;école primaire;N'Guigmi;partiel;165;élèves;14.2096;13.1112
Centre de santé N'Guigmi 1;centre de santé;N'Guigmi;fonctionnel;971;consultations/mois;14.2597;13.1107
Centre de santé N'Guigmi 2;centre de santé;N'Guigmi;fonctionnel;325;consultations/mois;14.2064;13.1179
Point d'eau N'Guigmi 1;point d'eau;N'Guigmi;non fonctionnel;722;personnes desservies;14.2296;13.1489
École primaire Maïné-Soroa 1;école primaire;Maïné-Soroa;fonctionnel;148;élèves;13.2254;11.995
École primaire Maïné-Soroa 2;école primaire;Maïné-Soroa;fonctionnel;269;élèves;13.2445;11.9757
École primaire Maïné-Soroa 3;école primaire;Maïné-Soroa;fonctionnel;164;élèves;13.2129;12.0001
Centre de santé Maïné-Soroa 1;centre de santé;Maïné-Soroa;fonctionnel;953;consultations/mois;13.2381;11.935
Point d'eau Maïné-Soroa 1;point d'eau;Maïné-Soroa;non fonctionnel;764;personnes desservies;13.1786;11.9904
Point d'eau Maïné-Soroa 2;point d'eau;Maïné-Soroa;fonctionnel;2077;personnes desservies;13.1897;12.0199
Point d'eau Maïné-Soroa 3;point d'eau;Maïné-Soroa;fonctionnel;1766;personnes desservies;13.1641;12.0267
École primaire Bosso 1;école primaire;Bosso;fonctionnel;393;élèves;13.7145;13.3374
Centre de santé Bosso 1;centre de santé;Bosso;partiel;1402;consultations/mois;13.6609;13.3035
Centre de santé Bosso 2;centre de santé;Bosso;fonctionnel;458;consultations/mois;13.6538;13.2503
Point d'eau Bosso 1;point d'eau;Bosso;fonctionnel;785;personnes desservies;13.6517;13.3273
Point d'eau Bosso 2;point d'eau;Bosso;partiel;1692;personnes desservies;13.7217;13.2998
Point d'eau Bosso 3;point d'eau;Bosso;fonctionnel;680;personnes desservies;13.7357;13.2886
École primaire Ouallam 1;école primaire;Ouallam;partiel;199;élèves;14.2906;2.1337
École primaire Ouallam 2;école primaire;Ouallam;fonctionnel;404;élèves;14.3385;2.0976
École primaire Ouallam 3;école primaire;Ouallam;fonctionnel;303;élèves;14.3286;2.1312
Centre de santé Ouallam 1;centre de santé;Ouallam;fonctionnel;304;consultations/mois;14.2752;2.0938
Centre de santé Ouallam 2;centre de santé;Ouallam;fonctionnel;907;consultations/mois;14.337;2.1359
Point d'eau Ouallam 1;point d'eau;Ouallam;partiel;1221;personnes desservies;14.3477;2.138
École primaire Téra 1;école primaire;Téra;fonctionnel;112;élèves;14.0058;0.7061
Centre de santé Téra 1;centre de santé;Téra;non fonctionnel;1235;consultations/mois;14.0461;0.7847
Centre de santé Téra 2;centre de santé;Téra;fonctionnel;649;consultations/mois;14.0551;0.7579
Centre de santé Téra 3;centre de santé;Téra;fonctionnel;710;consultations/mois;13.973;0.7764
Point d'eau Téra 1;point d'eau;Téra;partiel;1123;personnes desservies;13.9708;0.722
École primaire Abala 1;école primaire;Abala;partiel;159;élèves;14.9225;3.3815
École primaire Abala 2;école primaire;Abala;fonctionnel;376;élèves;14.9128;3.4061
Centre de santé Abala 1;centre de santé;Abala;fonctionnel;289;consultations/mois;14.8951;3.4043
Centre de santé Abala 2;centre de santé;Abala;fonctionnel;350;consultations/mois;14.8891;3.4279
Centre de santé Abala 3;centre de santé;Abala;fonctionnel;657;consultations/mois;14.9282;3.414
Point d'eau Abala 1;point d'eau;Abala;fonctionnel;1471;personnes desservies;14.953;3.4275
École primaire Banibangou 1;école primaire;Banibangou;partiel;600;élèves;15.0468;2.6799
École primaire Banibangou 2;école primaire;Banibangou;non fonctionnel;349;élèves;15.0244;2.7412
École primaire Banibangou 3;école primaire;Banibangou;partiel;365;élèves;15.0645;2.711
Centre de santé Banibangou 1;centre de santé;Banibangou;fonctionnel;1441;consultations/mois;14.987;2.7114
