indicateur;valeur;unite;commune;mois
beneficiaires_total;2748;personnes;Diffa;01/01/2025
beneficiaires_total;3181;personnes;Diffa;01/02/2025
beneficiaires_total;3075;personnes;Diffa;01/03/2025
beneficiaires_total;3520;personnes;Diffa;01/04/2025
beneficiaires_total;3654;personnes;Diffa;01/05/2025
beneficiaires_total;3623;personnes;Diffa;01/06/2025
beneficiaires_total;1674;personnes;N'Guigmi;01/01/2025
beneficiaires_total;1838;personnes;N'Guigmi;01/02/2025
beneficiaires_total;1873;personnes;N'Guigmi;01/03/2025
beneficiaires_total;1842;personnes;N'Guigmi;01/04/2025
beneficiaires_total;1696;personnes;N'Guigmi;01/05/2025
beneficiaires_total;1919;personnes;N'Guigmi;01/06/2025
beneficiaires_total;2444;personnes;Maïné-Soroa;01/01/2025
beneficiaires_total;2492;personnes;Maïné-Soroa;01/02/2025
beneficiaires_total;2976;personnes;Maïné-Soroa;01/03/2025
beneficiaires_total;3157;personnes;Maïné-Soroa;01/04/2025
beneficiaires_total;3730;personnes;Maïné-Soroa;01/05/2025
beneficiaires_total;3486;personnes;Maïné-Soroa;01/06/2025
beneficiaires_total;1782;personnes;Bosso;01/01/2025
beneficiaires_total;2118;personnes;Bosso;01/02/2025
beneficiaires_total;2074;personnes;Bosso;01/03/2025
beneficiaires_total;1934;personnes;Bosso;01/04/2025
beneficiaires_total;1992;personnes;Bosso;01/05/2025
beneficiaires_total;2228;personnes;Bosso;01/06/2025
beneficiaires_total;2148;personnes;Ouallam;01/01/2025
beneficiaires_total;2567;personnes;Ouallam;01/02/2025
beneficiaires_total;2399;personnes;Ouallam;01/03/2025
beneficiaires_total;2806;personnes;Ouallam;01/04/2025
beneficiaires_total;2685;personnes;Ouallam;01/05/2025
beneficiaires_total;2452;personnes;Ouallam;01/06/2025
beneficiaires_total;2328;personnes;Téra;01/01/2025
beneficiaires_total;2741;personnes;Téra;01/02/2025
beneficiaires_total;2909;personnes;Téra;01/03/2025
beneficiaires_total;3245;personnes;Téra;01/04/2025
beneficiaires_total;3642;personnes;Téra;01/05/2025
beneficiaires_total;4010;personnes;Téra;01/06/2025
beneficiaires_total;2358;personnes;Abala;01/01/2025
beneficiaires_total;2793;personnes;Abala;01/02/2025
beneficiaires_total;3285;personnes;Abala;01/03/2025
beneficiaires_total;3570;personnes;Abala;01/04/2025
beneficiaires_total;3923;personnes;Abala;01/05/2025
beneficiaires_total;3677;personnes;Abala;01/06/2025
beneficiaires_total;2135;personnes;Banibangou;01/01/2025
beneficiaires_total;2348;personnes;Banibangou;01/02/2025
beneficiaires_total;2342;personnes;Banibangou;01/03/2025
beneficiaires_total;2597;personnes;Banibangou;01/04/2025
beneficiaires_total;2769;personnes;Banibangou;01/05/2025
beneficiaires_total;2651;personnes;Banibangou;01/06/2025
beneficiaires_total;4164;personnes;Ayérou;01/01/2025
beneficiaires_total;4593;personnes;Ayérou;01/02/2025
beneficiaires_total;5377;personnes;Ayérou;01/03/2025
beneficiaires_total;5832;personnes;Ayérou;01/04/2025
beneficiaires_total;5775;personnes;Ayérou;01/05/2025
beneficiaires_total;6146;personnes;Ayérou;01/06/2025
beneficiaires_total;793;personnes;Dakoro;01/01/2025
beneficiaires_total;763;personnes;Dakoro;01/02/2025
beneficiaires_total;866;personnes;Dakoro;01/03/2025
beneficiaires_total;937;personnes;Dakoro;01/04/2025
beneficiaires_total;933;personnes;Dakoro;01/05/2025
beneficiaires_total;963;personnes;Dakoro;01/06/2025
beneficiaires_total;3438;personnes;Guidan Roumdji;01/01/2025
beneficiaires_total;3582;personnes;Guidan Roumdji;01/02/2025
beneficiaires_total;4192;personnes;Guidan Roumdji;01/03/2025
beneficiaires_total;4773;personnes;Guidan Roumdji;01/04/2025
beneficiaires_total;4538;personnes;Guidan Roumdji;01/05/2025
beneficiaires_total;4199;personnes;Guidan Roumdji;01/06/2025
beneficiaires_total;3199;personnes;Madarounfa;01/01/2025
beneficiaires_total;3473;personnes;Madarounfa;01/02/2025
beneficiaires_total;3223;personnes;Madarounfa;01/03/2025
beneficiaires_total;3821;personnes;Madarounfa;01/04/2025
beneficiaires_total;3708;personnes;Madarounfa;01/05/2025
beneficiaires_total;3682;personnes;Madarounfa;01/06/2025
