departement;type_incident;nombre;severite;mois
Ouallam;incident d'accès;1;faible;01/02/2025
Ouallam;incident d'accès;1;moyenne;01/04/2025
Ouallam;incident d'accès;6;élevée;01/05/2025
Ouallam;incident d'accès;6;moyenne;01/06/2025
Téra;incident d'accès;2;faible;01/01/2025
Téra;incident d'accès;1;faible;01/02/2025
Téra;incident d'accès;6;élevée;01/04/2025
Téra;incident d'accès;5;faible;01/05/2025
Banibangou;incident d'accès;2;moyenne;01/01/2025
Banibangou;incident d'accès;5;élevée;01/02/2025
Banibangou;incident d'accès;4;élevée;01/03/2025
Banibangou;incident d'accès;5;moyenne;01/06/2025
Abala;incident d'accès;3;faible;01/03/2025
Abala;incident d'accès;5;moyenne;01/05/2025
Abala;incident d'accès;3;moyenne;01/06/2025
Diffa;incident d'accès;3;faible;01/01/2025
Diffa;incident d'accès;3;élevée;01/02/2025
Diffa;incident d'accès;2;faible;01/03/2025
Diffa;incident d'accès;2;élevée;01/04/2025
Diffa;incident d'accès;4;moyenne;01/05/2025
Diffa;incident d'accès;4;moyenne;01/06/2025
N'Guigmi;incident d'accès;4;moyenne;01/01/2025
N'Guigmi;incident d'accès;6;faible;01/03/2025
N'Guigmi;incident d'accès;1;moyenne;01/06/2025
Bosso;incident d'accès;4;moyenne;01/01/2025
Bosso;incident d'accès;6;élevée;01/02/2025
Bosso;incident d'accès;3;moyenne;01/05/2025
Bosso;incident d'accès;4;moyenne;01/06/2025
Dakoro;incident d'accès;4;élevée;01/01/2025
Dakoro;incident d'accès;4;faible;01/02/2025
Dakoro;incident d'accès;4;élevée;01/04/2025
Dakoro;incident d'accès;1;faible;01/05/2025
Dakoro;incident d'accès;2;moyenne;01/06/2025
