ressource;categorie;quantite;unite;site;commune;mois
riz;vivres;43.2;tonnes;Site de distribution Diffa 1;Diffa;01/01/2025
riz;vivres;42.5;tonnes;Site de distribution Diffa 1;Diffa;01/02/2025
riz;vivres;38.1;tonnes;Site de distribution Diffa 1;Diffa;01/03/2025
riz;vivres;43.7;tonnes;Site de distribution Diffa 1;Diffa;01/04/2025
riz;vivres;35.2;tonnes;Site de distribution Diffa 1;Diffa;01/05/2025
riz;vivres;33.4;tonnes;Site de distribution Diffa 1;Diffa;01/06/2025
mil;vivres;38.7;tonnes;Site de distribution Diffa 1;Diffa;01/01/2025
mil;vivres;31.4;tonnes;Site de distribution Diffa 1;Diffa;01/02/2025
mil;vivres;25.5;tonnes;Site de distribution Diffa 1;Diffa;01/03/2025
mil;vivres;26.1;tonnes;Site de distribution Diffa 1;Diffa;01/04/2025
mil;vivres;25.8;tonnes;Site de distribution Diffa 1;Diffa;01/05/2025
mil;vivres;23.3;tonnes;Site de distribution Diffa 1;Diffa;01/06/2025
huile;vivres;2058.0;litres;Site de distribution Diffa 1;Diffa;01/01/2025
huile;vivres;1750.5;litres;Site de distribution Diffa 1;Diffa;01/02/2025
huile;vivres;1700.2;litres;Site de distribution Diffa 1;Diffa;01/03/2025
huile;vivres;1916.1;litres;Site de distribution Diffa 1;Diffa;01/04/2025
huile;vivres;1958.5;litres;Site de distribution Diffa 1;Diffa;01/05/2025
huile;vivres;1558.6;litres;Site de distribution Diffa 1;Diffa;01/06/2025
riz;vivres;52.2;tonnes;Site de distribution N'Guigmi 1;N'Guigmi;01/01/2025
riz;vivres;55.2;tonnes;Site de distribution N'Guigmi 1;N'Guigmi;01/02/2025
riz;vivres;48.9;tonnes;Site de distribution N'Guigmi 1;N'Guigmi;01/03/2025
riz;vivres;42.4;tonnes;Site de distribution N'Guigmi 1;N'Guigmi;01/04/2025
riz;vivres;34.5;tonnes;Site de distribution N'Guigmi 1;N'Guigmi;01/05/2025
riz;vivres;25.9;tonnes;Site de distribution N'Guigmi 1;N'Guigmi;01/06/2025
mil;vivres;36.2;tonnes;Site de distribution N'Guigmi 1;N'Guigmi;01/01/2025
mil;vivres;41.2;tonnes;Site de distribution N'Guigmi 1;N'Guigmi;01/02/2025
mil;vivres;43.4;tonnes;Site de distribution N'Guigmi 1;N'Guigmi;01/03/2025
mil;vivres;41.4;tonnes;Site de distribution N'Guigmi 1;N'Guigmi;01/04/2025
mil;vivres;32.8;tonnes;Site de distribution N'Guigmi 1;N'Guigmi;01/05/2025
mil;vivres;32.8;tonnes;Site de distribution N'Guigmi 1;N'Guigmi;01/06/2025
huile;vivres;2327.1;litres;Site de distribution N'Guigmi 1;N'Guigmi;01/01/2025
huile;vivres;1930.5;litres;Site de distribution N'Guigmi 1;N'Guigmi;01/02/2025
huile;vivres;1736.6;litres;Site de distribution N'Guigmi 1;N'Guigmi;01/03/2025
huile;vivres;1414.6;litres;Site de distribution N'Guigmi 1;N'Guigmi;01/04/2025
huile;vivres;1600.5;litres;Site de distribution N'Guigmi 1;N'Guigmi;01/05/2025
huile;vivres;1790.9;litres;Site de distribution N'Guigmi 1;N'Guigmi;01/06/2025
riz;vivres;49.8;tonnes;Site de distribution Maïné-Soroa 1;Maïné-Soroa;01/01/2025
riz;vivres;47.1;tonnes;Site de distribution Maïné-Soroa 1;Maïné-Soroa;01/02/2025
riz;vivres;37.5;tonnes;Site de distribution Maïné-Soroa 1;Maïné-Soroa;01/03/2025
riz;vivres;33.5;tonnes;Site de distribution Maïné-Soroa 1;Maïné-Soroa;01/04/2025
riz;vivres;38.4;tonnes;Site de distribution Maïné-Soroa 1;Maïné-Soroa;01/05/2025
riz;vivres;41.1;tonnes;Site de distribution Maïné-Soroa 1;Maïné-Soroa;01/06/2025
mil;vivres;23.4;tonnes;Site de distribution Maïné-Soroa 1;Maïné-Soroa;01/01/2025
mil;vivres;22.8;tonnes;Site de distribution Maïné-Soroa 1;Maïné-Soroa;01/02/2025
mil;vivres;17.8;tonnes;Site de distribution Maïné-Soroa 1;Maïné-Soroa;01/03/2025
mil;vivres;18.6;tonnes;Site de distribution Maïné-Soroa 1;Maïné-Soroa;01/04/2025
mil;vivres;20.0;tonnes;Site de distribution Maïné-Soroa 1;Maïné-Soroa;01/05/2025
mil;vivres;22.8;tonnes;Site de distribution Maïné-Soroa 1;Maïné-Soroa;01/06/2025
huile;vivres;1706.8;litres;Site de distribution Maïné-Soroa 1;Maïné-Soroa;01/01/2025
huile;vivres;1730.5;litres;Site de distribution Maïné-Soroa 1;Maïné-Soroa;01/02/2025
huile;vivres;1953.3;litres;Site de distribution Maïné-Soroa 1;Maïné-Soroa;01/03/2025
huile;vivres;1594.0;litres;Site de distribution Maïné-Soroa 1;Maïné-Soroa;01/04/2025
huile;vivres;1532.0;litres;Site de distribution Maïné-Soroa 1;Maïné-Soroa;01/05/2025
huile;vivres;1520.7;litres;Site de distribution Maïné-Soroa 1;Maïné-Soroa;01/06/2025
riz;vivres;57.5;tonnes;Site de distribution Bosso 1;Bosso;01/01/2025
riz;vivres;60.5;tonnes;Site de distribution Bosso 1;Bosso;01/02/2025
riz;vivres;62.1;tonnes;Site de distribution Bosso 1;Bosso;01/03/2025
riz;vivres;64.3;tonnes;Site de distribution Bosso 1;Bosso;01/04/2025
riz;vivres;58.5;tonnes;Site de distribution Bosso 1;Bosso;01/05/2025
riz;vivres;59.6;tonnes;Site de distribution Bosso 1;Bosso;01/06/2025
mil;vivres;32.9;tonnes;Site de distribution Bosso 1;Bosso;01/01/2025
mil;vivres;30.6;tonnes;Site de distribution Bosso 1;Bosso;01/02/2025
mil;vivres;26.0;tonnes;Site de distribution Bosso 1;Bosso;01/03/2025
mil;vivres;20.1;tonnes;Site de distribution Bosso 1;Bosso;01/04/2025
mil;vivres;15.3;tonnes;Site de distribution Bosso 1;Bosso;01/05/2025
mil;vivres;14.8;tonnes;Site de distribution Bosso 1;Bosso;01/06/2025
huile;vivres;1647.6;litres;Site de distribution Bosso 1;Bosso;01/01/2025
huile;vivres;1702.2;litres;Site de distribution Bosso 1;Bosso;01/02/2025
huile;vivres;1316.8;litres;Site de distribution Bosso 1;Bosso;01/03/2025
huile;vivres;1023.1;litres;Site de distribution Bosso 1;Bosso;01/04/2025
huile;vivres;780.2;litres;Site de distribution Bosso 1;Bosso;01/05/2025
huile;vivres;688.2;litres;Site de distribution Bosso 1;Bosso;01/06/2025
riz;vivres;36.4;tonnes;Site de distribution Ouallam 1;Ouallam;01/01/2025
riz;vivres;34.4;tonnes;Site de distribution Ouallam 1;Ouallam;01/02/2025
riz;vivres;33.2;tonnes;Site de distribution Ouallam 1;Ouallam;01/03/2025
riz;vivres;34.5;tonnes;Site de distribution Ouallam 1;Ouallam;01/04/2025
riz;vivres;38.1;tonnes;Site de distribution Ouallam 1;Ouallam;01/05/2025
riz;vivres;37.3;tonnes;Site de distribution Ouallam 1;Ouallam;01/06/2025
mil;vivres;26.0;tonnes;Site de distribution Ouallam 1;Ouallam;01/01/2025
mil;vivres;23.7;tonnes;Site de distribution Ouallam 1;Ouallam;01/02/2025
mil;vivres;18.7;tonnes;Site de distribution Ouallam 1;Ouallam;01/03/2025
mil;vivres;18.9;tonnes;Site de distribution Ouallam 1;Ouallam;01/04/2025
mil;vivres;16.9;tonnes;Site de distribution Ouallam 1;Ouallam;01/05/2025
mil;vivres;15.4;tonnes;Site de distribution Ouallam 1;Ouallam;01/06/2025
huile;vivres;1901.3;litres;Site de distribution Ouallam 1;Ouallam;01/01/2025
huile;vivres;1922.9;litres;Site de distribution Ouallam 1;Ouallam;01/02/2025
huile;vivres;1939.2;litres;Site de distribution Ouallam 1;Ouallam;01/03/2025
huile;vivres;1501.4;litres;Site de distribution Ouallam 1;Ouallam;01/04/2025
huile;vivres;1563.4;litres;Site de distribution Ouallam 1;Ouallam;01/05/2025
huile;vivres;1673.2;litres;Site de distribution Ouallam 1;Ouallam;01/06/2025
riz;vivres;28.3;tonnes;Site de distribution Téra 1;Téra;01/01/2025
riz;vivres;27.3;tonnes;Site de distribution Téra 1;Téra;01/02/2025
riz;vivres;22.0;tonnes;Site de distribution Téra 1;Téra;01/03/2025
riz;vivres;18.1;tonnes;Site de distribution Téra 1;Téra;01/04/2025
riz;vivres;16.9;tonnes;Site de distribution Téra 1;Téra;01/05/2025
riz;vivres;18.6;tonnes;Site de distribution Téra 1;Téra;01/06/2025
mil;vivres;27.0;tonnes;Site de distribution Téra 1;Téra;01/01/2025
mil;vivres;29.5;tonnes;Site de distribution Téra 1;Téra;01/02/2025
mil;vivres;23.3;tonnes;Site de distribution Téra 1;Téra;01/03/2025
mil;vivres;23.5;tonnes;Site de distribution Téra 1;Téra;01/04/2025
mil;vivres;22.7;tonnes;Site de distribution Téra 1;Téra;01/05/2025
mil;vivres;17.2;tonnes;Site de distribution Téra 1;Téra;01/06/2025
huile;vivres;1780.3;litres;Site de distribution Téra 1;Téra;01/01/2025
huile;vivres;1503.6;litres;Site de distribution Téra 1;Téra;01/02/2025
huile;vivres;1372.1;litres;Site de distribution Téra 1;Téra;01/03/2025
huile;vivres;1293.3;litres;Site de distribution Téra 1;Téra;01/04/2025
huile;vivres;1417.3;litres;Site de distribution Téra 1;Téra;01/05/2025
huile;vivres;1574.5;litres;Site de distribution Téra 1;Téra;01/06/2025
riz;vivres;26.5;tonnes;Site de distribution Abala 1;Abala;01/01/2025
riz;vivres;24.0;tonnes;Site de distribution Abala 1;Abala;01/02/2025
riz;vivres;26.9;tonnes;Site de distribution Abala 1;Abala;01/03/2025
riz;vivres;28.6;tonnes;Site de distribution Abala 1;Abala;01/04/2025
riz;vivres;24.7;tonnes;Site de distribution Abala 1;Abala;01/05/2025
riz;vivres;25.5;tonnes;Site de distribution Abala 1;Abala;01/06/2025
mil;vivres;37.2;tonnes;Site de distribution Abala 1;Abala;01/01/2025
mil;vivres;37.7;tonnes;Site de distribution Abala 1;Abala;01/02/2025
mil;vivres;35.6;tonnes;Site de distribution Abala 1;Abala;01/03/2025
mil;vivres;29.4;tonnes;Site de distribution Abala 1;Abala;01/04/2025
mil;vivres;24.6;tonnes;Site de distribution Abala 1;Abala;01/05/2025
mil;vivres;19.1;tonnes;Site de distribution Abala 1;Abala;01/06/2025
huile;vivres;1808.8;litres;Site de distribution Abala 1;Abala;01/01/2025
huile;vivres;1583.5;litres;Site de distribution Abala 1;Abala;01/02/2025
huile;vivres;1219.4;litres;Site de distribution Abala 1;Abala;01/03/2025
huile;vivres;1147.1;litres;Site de distribution Abala 1;Abala;01/04/2025
huile;vivres;1282.1;litres;Site de distribution Abala 1;Abala;01/05/2025
huile;vivres;1234.0;litres;Site de distribution Abala 1;Abala;01/06/2025
riz;vivres;31.6;tonnes;Site de distribution Banibangou 1;Banibangou;01/01/2025
riz;vivres;34.4;tonnes;Site de distribution Banibangou 1;Banibangou;01/02/2025
riz;vivres;26.8;tonnes;Site de distribution Banibangou 1;Banibangou;01/03/2025
riz;vivres;20.8;tonnes;Site de distribution Banibangou 1;Banibangou;01/04/2025
riz;vivres;22.8;tonnes;Site de distribution Banibangou 1;Banibangou;01/05/2025
riz;vivres;20.8;tonnes;Site de distribution Banibangou 1;Banibangou;01/06/2025
mil;vivres;37.3;tonnes;Site de distribution Banibangou 1;Banibangou;01/01/2025
